Time,Stock,Strategy,Signal,Price,Stop Loss,Target,R:R,RSI
2026-06-30 10:54 IST,MPHASIS,SWING,BUY,₹2177.5,₹2145.44,₹2234.85,1:1.79,—
2026-06-30 11:03:29 IST,COLPAL,SWING,BUY,₹1984.4000244140625,₹1959.86,₹2034.45,1:2.04,—
2026-06-30 11:03:32 IST,ASIANPAINT,SCALP,BUY,₹2668.10009765625,₹2656.16,₹2681.44,1:1.12,59.6
2026-06-30 11:03:42 IST,TATASTEEL,MOMENTUM,SELL,₹187.8300018310547,₹189.26,₹185.01,1:1.97,45.7
2026-06-30 11:03:48 IST,APLAPOLLO,SCALP,BUY,₹1785.300048828125,₹1776.03,₹1794.23,1:0.96,54.1
2026-06-30 11:03 IST,MOTHERSON,SWING,SELL,₹148.85000610351562,₹151.46,₹144.83,1:1.54,—
2026-06-30 11:05 IST,SONACOMS,SWING,SELL,₹616.0,₹625.96,₹599.16,1:1.69,—
2026-06-30 11:05 IST,VOLTAS,SWING,BUY,₹1280.9000244140625,₹1265.43,₹1315.44,1:2.23,—
2026-06-30 11:06 IST,NAZARA,SWING,SELL,₹303.8999938964844,₹308.37,₹296.21,1:1.72,—
2026-06-30 11:03 IST,BAJFINANCE,SWING,SELL,₹991.0499877929688,₹1012.49,₹964.85,1:1.22,—
2026-06-30 11:03 IST,BAJAJFINSV,SWING,SELL,₹1774.9000244140625,₹1807.06,₹1727.47,1:1.47,—
2026-06-30 11:03 IST,FEDERALBNK,SWING,SELL,₹329.6499938964844,₹336.56,₹320.29,1:1.35,—
2026-06-30 11:04 IST,CANBK,SWING,BUY,₹125.75,₹123.81,₹128.99,1:1.67,—
2026-06-30 11:04 IST,BANKBARODA,MOMENTUM,SELL,₹274.0,₹276.22,₹269.89,1:1.85,42.4
2026-06-30 11:04 IST,5PAISA,SWING,SELL,₹353.6499938964844,₹359.08,₹344.79,1:1.63,—
2026-06-30 11:05 IST,BEL,SWING,BUY,₹410.1000061035156,₹404.19,₹420.8,1:1.81,—
2026-06-30 11:05 IST,BRIGADE,SWING,SELL,₹495.5,₹501.64,₹482.76,1:2.07,—
2026-06-30 11:05 IST,NESCO,MOMENTUM,SELL,₹1080.9000244140625,₹1089.31,₹1064.69,1:1.93,46.5
2026-06-30 11:05 IST,ITC,SWING,BUY,₹288.20001220703125,₹283.74,₹295.54,1:1.65,—
2026-06-30 11:04 IST,INDUSINDBK,SCALP,BUY,₹929.4000244140625,₹920.6,₹934.05,1:0.53,63.4
2026-06-30 11:05 IST,ESAFSFB,SCALP,BUY,₹32.779998779296875,₹32.59,₹32.94,1:0.84,60.0
